genre,month_year,score
Experimental,2015-02,7.291666666666667
Experimental,2015-03,7.685714285714286
Experimental,2015-04,7.606250000000001
Experimental,2015-05,7.7714285714285705
Experimental,2015-06,7.557142857142857
Experimental,2015-07,7.458333333333333
Experimental,2015-08,7.639999999999999
Experimental,2015-09,7.285714285714286
Experimental,2015-10,7.383333333333334
Experimental,2015-11,7.639999999999999
Experimental,2015-12,7.275
Experimental,2016-01,7.366666666666667
Experimental,2016-02,7.220000000000001
Experimental,2016-03,7.088333333333333
Experimental,2016-04,7.040909090909091
Experimental,2016-05,7.960000000000001
Experimental,2016-06,7.155555555555555
Experimental,2016-07,7.118181818181818
Experimental,2016-08,7.512962962962963
Experimental,2016-09,7.270370370370371
Experimental,2016-10,7.67
Experimental,2016-11,7.691666666666667
Experimental,2016-12,7.3125
Experimental,2017-01,7.45
Experimental,2017-02,7.35
Experimental,2017-03,7.218181818181819
Experimental,2017-04,7.261363636363637
Experimental,2017-05,7.375000000000001
Experimental,2017-06,7.286363636363637
Experimental,2017-07,7.43
Experimental,2017-08,6.840000000000001
Experimental,2017-09,7.128571428571427
Experimental,2017-10,7.706250000000001
Experimental,2017-11,7.222222222222224
Experimental,2017-12,7.366666666666667
Experimental,2018-01,7.45
Experimental,2018-02,7.105555555555555
Experimental,2018-03,7.557142857142858
Experimental,2018-04,7.19
Experimental,2018-05,7.771428571428571
Experimental,2018-06,7.358333333333333
Experimental,2018-07,7.373333333333333
Experimental,2018-08,7.51
Experimental,2018-09,7.4363636363636365
Experimental,2018-10,7.06060606060606
Experimental,2018-11,7.418181818181818
Experimental,2018-12,7.538095238095238
Experimental,2019-01,7.15
Experimental,2019-02,7.5
Experimental,2019-03,7.505
Experimental,2019-04,7.55
Experimental,2019-05,7.503030303030303
Experimental,2019-06,7.425
Experimental,2019-07,7.403333333333333
Experimental,2019-08,7.423809523809524
Experimental,2019-09,7.762121212121213
Experimental,2019-10,7.127272727272726
Experimental,2019-11,7.671428571428572
Experimental,2019-12,7.275
Experimental,2020-01,7.490909090909091
Experimental,2020-02,7.399999999999999
Experimental,2020-03,7.466666666666668
Experimental,2020-04,7.385714285714286
Experimental,2020-05,7.5129629629629635
Experimental,2020-06,7.4
Experimental,2020-07,7.45
Experimental,2020-08,7.420833333333333
Experimental,2020-09,7.577272727272727
Experimental,2020-10,7.524999999999999
Experimental,2020-11,7.720000000000001
Experimental,2020-12,7.383333333333333
Experimental,2021-01,7.4074074074074066
Experimental,2021-02,6.95
Experimental,2021-03,7.5590909090909095
Experimental,2021-04,7.426666666666667
Experimental,2021-05,7.327777777777777
Experimental,2021-06,7.529999999999999
Experimental,2021-07,7.680952380952379
Experimental,2021-08,7.0874999999999995
Experimental,2021-09,7.7
Experimental,2021-10,7.513636363636365
Experimental,2021-11,7.491666666666667
Experimental,2021-12,7.637499999999999
Folk_and_Country,1999-01,6.5
Folk_and_Country,1999-02,7.3
Folk_and_Country,1999-07,8.05
Folk_and_Country,1999-09,7.733333333333333
Folk_and_Country,2000-01,7.0
Folk_and_Country,2000-09,7.8
Folk_and_Country,2000-10,7.6
